Modelo,R2,RMSE
1. Decision Tree,0.08404175761009673,703.4611981098118
2. Bagging (Trees),0.43235436048454784,568.0340232293345
3. Pasting (Trees),0.08475787381659226,703.4308677030717
4. Bagging (KNN),0.501632054620803,481.9954256150267
5. RF Estandar,0.4285315822855528,568.7726314281078
6. RF Profundo,0.4253908399673772,570.5300547948005
7. RF Regularizado,0.49999942709649736,528.2387066990779
8. Extra-Trees,0.2234811128964871,658.639983902616
9. ET Optimizado,0.5653284442842844,439.4026646786351
10. RF FeatureSel,0.44494716125086026,554.2408609535945
